,id,type,location_name,groups,price,area,under_valued,over_valued,normal
0,44525,['villa'],['Golden Mile'],houses,4400000,918.0,1,0,0
1,44859,['Villa'],"['Golden Mile', 'Nagüeles']",houses,2400000,0.0,0,0,1
2,45465,['villa'],['Nagüeles'],houses,1900000,393.0,1,0,0
3,50685,[],[],[],4250000,0.0,None,None,None
4,130728,['Villa'],['Golden Mile'],houses,32000000,4903.0,1,0,0
5,130856,['plot'],['Nagüeles'],plots,2900000,5528.0,0,0,1
6,130857,['Penthouse'],['Golden Mile'],apartment,3900000,530.0,0,0,1
7,130897,['Villa'],['Golden Mile'],houses,3148000,450.0,1,0,0
8,130917,['Villa'],['Golden Mile'],houses,2950000,845.0,1,0,0
9,130978,['Villa'],['Nagüeles'],houses,2400000,738.0,1,0,0
10,131009,"['Apartment', 'plot']",['Nagüeles'],apartment,2169448,0.0,0,1,0
11,131037,['Villa'],['Golden Mile'],houses,1950000,603.0,1,0,0
12,131058,['Villa'],['Golden Mile'],houses,1850000,608.0,1,0,0
13,131259,['Penthouse'],['Golden Mile'],apartment,1150000,194.0,0,0,1
14,131274,"['penthouse', 'Duplex']",['Nagüeles'],apartment,1100000,335.0,0,0,1
15,131297,['Villa'],['Golden Mile'],houses,995000,127.0,1,0,0
16,131403,['Penthouse'],['Golden Mile'],apartment,790000,367.0,0,0,1
17,131417,['Villa'],['Nagüeles'],houses,765000,249.0,1,0,0
18,131512,['Villa'],['Nagüeles'],houses,585000,397.0,1,0,0
19,131589,[],['Nagüeles'],[],550000,0.0,None,None,None
20,131650,[],['Nagüeles'],[],460000,0.0,None,None,None
21,131694,['apartment'],['Golden Mile'],apartment,415000,77.0,0,0,1
22,131703,['Apartment'],['Nagüeles'],apartment,400000,157.0,0,0,1
23,131765,[],['Nagüeles'],[],350000,0.0,None,None,None
24,131820,[],['Nagüeles'],[],288750,0.0,None,None,None
25,131878,['apartment'],['Nagüeles'],apartment,260000,130.0,0,0,1
26,131958,['villa'],['Golden Mile'],houses,0,450.0,None,None,None
27,131977,['Villa'],['Golden Mile'],houses,0,1890.0,None,None,None
28,132013,['Villa'],['Nagüeles'],houses,0,435.0,None,None,None
29,132037,['villa'],['Golden Mile'],houses,0,127.0,None,None,None
30,132041,['villa'],['Golden Mile'],houses,0,380.0,None,None,None
